race_id,Horse,Pla.,Act. Wt.,Dr.,Win Odds
1,2170,1,0.8288775610628315,0.14285714285714285,-2.3712019257169894
1,1733,2,0.06727337859157155,0.21428571428571427,-2.038057479188451
1,2796,3,1.2716866194502348,1.0,-3.798318281357135
1,858,4,1.4170389255958171,0.5714285714285714,-1.1390582444243569
1,2157,5,1.5612942227505962,0.8571428571428571,-2.65888399816877
1,3917,6,1.5612942227505962,0.5,-2.158421161438326
1,727,7,-0.40469470321769196,0.07142857142857142,-1.5726942294992177
1,911,8,0.06727337859157155,0.7857142857142857,-4.481415126063578
1,1730,9,0.06727337859157155,0.42857142857142855,-3.5238814356553747
2,3605,1,-1.5535052492289265,0.42857142857142855,-1.947047922277785
2,2772,2,-0.2460735758894121,0.07142857142857142,-1.684683657810294
2,2330,3,-0.8886126048260418,0.5,-3.143298680509811
2,2813,4,-2.4185277997143197,0.2857142857142857,-3.232246166526307
2,4244,5,-3.3245616866779564,0.21428571428571427,-2.4266210025396715
2,2814,6,1.125220491670586,0.35714285714285715,-1.3280087138715615
2,4181,7,1.4170389255958171,0.5714285714285714,-2.7143030749914523
2,2397,8,0.8288775610628315,0.6428571428571429,-2.021155894431507
2,550,9,-0.7259415280926242,1.0,-3.2941215702443944
3,2162,1,-0.08875798704367244,0.2857142857142857,-2.1517739905776505
3,2306,2,1.5612942227505962,0.14285714285714285,-2.425067325577332
3,2012,3,-2.067807204702921,0.9285714285714286,-3.296906294880653
3,3305,4,0.3755661289984293,0.5,-2.1079713679192578
3,2069,5,0.2220413184970566,0.7857142857142857,-2.9784525637621186
3,4048,6,0.6789651365260526,0.42857142857142855,-1.4586268100177053
3,3877,7,0.5278676212398408,0.5714285714285714,-1.6874683824465528
3,2800,8,0.3755661289984293,0.21428571428571427,-4.380251111417975
3,2172,9,0.3755661289984293,0.6428571428571429,-2.2727266009953135
3,2650,10,0.5278676212398408,0.7142857142857143,-4.800983691656927
3,133,11,0.06727337859157155,0.8571428571428571,-4.800983691656927
3,803,12,0.8288775610628315,1.0,-4.600312996194776
3,1095,13,-1.0526800168887216,0.07142857142857142,-4.012526331292657
3,1875,14,-2.067807204702921,0.35714285714285715,-4.800983691656927
4,3872,1,-0.5646432194243015,0.3333333333333333,-1.3599000515415252
4,2973,2,1.5612942227505962,0.25,-2.4192916270563534
4,4006,3,-1.218167943696651,0.08333333333333333,-0.7759521629465718
4,4056,4,-2.067807204702921,0.5833333333333334,-4.0153065191583135
4,3844,5,-1.5535052492289265,0.6666666666666666,-2.4192916270563534
4,1398,6,-0.5646432194243015,1.0,-3.2947603644102537
4,3031,7,0.3755661289984293,0.5,-3.4954310598724048
4,2002,8,-1.894831036409969,0.8333333333333334,-3.9307491311302503
5,277,1,-1.3851011982035644,0.5,-2.1764607264715963
5,82,2,1.5612942227505962,0.2857142857142857,-1.4272240792606075
5,3301,3,0.3755661289984293,0.8571428571428571,-2.263472103461226
5,243,4,-0.40469470321769196,0.7857142857142857,-2.3435148111347623
5,1332,5,-0.40469470321769196,0.5714285714285714,-1.5868542248524913
5,1895,6,-2.775804298115691,0.07142857142857142,-3.212552658158372
5,3105,7,-0.8886126048260418,0.6428571428571429,-2.7230044328396663
5,4061,8,0.5278676212398408,0.9285714285714286,-3.11076996384843
5,134,9,-0.40469470321769196,1.0,-3.539765569366788
