200,0.5313080905506821,0.013201936668990166
200,0.5209448136396013,0.02244671161630518
400,0.6299845404750836,0.0060802171782041725
400,0.4576748168092969,0.020254025920919183
600,0.4231414640253879,0.007451398531256093
600,0.47957760173135333,0.016439592930226152
800,0.4970120462130076,0.0071784964533385676
800,0.4674290322463573,0.01015318179642157
1000,0.4347957463539348,0.007463458341190443
1000,0.45036561484885085,0.008019132272288676
200,0.6322761991929261,0.01878237911140479
200,0.6543909062903108,0.044081318332908515
400,0.553817978690549,0.021888965780828995
400,0.5478709743295577,0.008605509275561429
600,0.5242183874328613,0.013927445359286583
600,0.43333602200179133,0.0074132896795875425
800,0.4680376401642521,0.006557340616090701
800,0.5744314104425694,0.018994413562578805
1000,0.4691484546517842,0.011450954659248058
1000,0.3859366585327261,0.00979234477646096
200,0.5335749473930204,0.016658519460182042
200,0.5403148442213749,0.018412499833624585
400,0.4626174978851544,0.00957075588383793
400,0.48271545660361626,0.016402359895120844
600,0.4878484679977435,0.015265287636565539
600,0.45577221271421137,0.012057850303017537
800,0.4859424562991853,0.006432614437375861
800,0.49896822126840934,0.005664752964410158
1000,0.4009102396588757,0.013121354142152652
1000,0.47422804923460354,0.009700624984239275
