Slava Dosedel:1970.58
Albert Montanes:1980.83
Bernard Tomic:1992.75
Marty Riessen:1941.92
Pablo Cuevas:1986.0
Wojtek Fibak:1952.58
Luciano Darderi:2002.08
Brian Teacher:1954.92
Konstantin Pugayev:1955.42
Jaime Yzaga:1967.75
Horst Skoff:1968.58
Jack Sock:1992.67
Andrei Cherkasov:1970.5
Pablo Carreno Busta:1991.5
Fernando Meligeni:1971.25
Tomas Smid:1956.33
Todd Reid:1984.42
Manuel Orantes:1949.08
Goran Prpic:1964.33
Cameron Norrie:1995.58
Ulf Stenlund:1967.0
Franco Squillari:1975.58
Carl Uwe Steeb:1967.67
Kenneth Carlsen:1973.25
Stefan Koubek:1977.0
Victor Estrella:1980.58
Brett Steven:1969.25
Alberto Martin:1978.58
Franco Davin:1970.0
Guillermo Garcia Lopez:1983.42
Scott Draper:1974.42
Victor Hanescu:1981.5
Jiri Lehecka:2001.83
Ben Shelton:2002.75
Marc Lopez:1982.5
Luis Horna:1980.67
Jerzy Janowicz:1990.83
Julien Boutter:1974.25
Balazs Taroczy:1954.33
Diego Schwartzman:1992.58
Arnaud Di Pasquale:1979.08
Tommy Paul:1997.33
Bernd Karbacher:1968.25
Nicklas Kulti:1971.25
Raul Ramirez:1953.42
Hamad Medjedovic:2003.5
Aki Rahunen:1971.92
Steve Darcis:1984.17
Christian Bergstrom:1967.5
Todd Widom:1983.25
Philipp Petzschner:1984.17
Juan Balcells:1975.42
Adrian Mannarino:1988.42
Julian Alonso:1977.58
Martin Verkerk:1978.75
Lorenzo Musetti:2002.17
Javier Sanchez:1968.08
Flavio Saretta:1980.42
Daniel Vacek:1971.25
Renzo Furlan:1970.33
Richard Fromberg:1970.25
Wally Masur:1963.33
Davide Sanguinetti:1972.58
Lucas Pouille:1994.08
Jared Palmer:1971.5
Simone Bolelli:1985.75
Ivan Dodig:1985.0
Sargis Sargsian:1973.42
Jordi Arrese:1964.58
Vijay Amritraj:1953.92
Daniel Evans:1990.33
Tomas Machac:2000.75
Cyril Saulnier:1975.58
Benjamin Becker:1981.42
Mariano Navone:2001.08
Jonathan Stark:1971.25
David Prinosil:1973.17
Jan Hernych:1979.5
Gianluca Pozzi:1965.42
Frances Tiafoe:1998.0
Kristof Vliegen:1982.42
Potito Starace:1981.5
Filippo Volandri:1981.67
Marc Kevin Goellner:1970.67
Florent Serra:1981.08
Antony Dupuis:1973.08
Dominic Stricker:2002.58
Brandon Nakashima:2001.58
Reilly Opelka:1997.58
Adrian Voinea:1974.58
Hernan Gumy:1972.17
Darren Cahill:1965.75
Albert Ramos:1988.0
Daniele Bracciali:1978.0
Leonardo Mayer:1987.33
Jan Lennard Struff:1990.25
Derrick Rostagno:1965.75
Javier Frana:1966.92
Paul Annacone:1963.17
Marcos Ondruska:1972.92
Thomaz Bellucci:1987.92
Omar Camporese:1968.33
Vladimir Voltchkov:1978.25
Chuck Adams:1971.25
Lars Rehmann:1975.33
Stephane Robert:1980.33
Michal Tabara:1979.75
Steve Johnson:1989.92
Fernando Vicente:1977.17
Jeff Tarango:1968.83
Paolo Lorenzi:1981.92
Jacco Eltingh:1970.58
Raemon Sluiter:1978.25
Henrik Holm:1968.58
Gregory Carraz:1975.25
Ugo Humbert:1998.42
Markus Hipfl:1978.25
Patrick McEnroe:1966.5
Peter Wessels:1978.33
Juncheng Shang:2005.08
Marcelo Filippini:1967.58
Marton Fucsovics:1992.08
Robin Haase:1987.25
Albert Portas:1973.83
Marcel Granollers:1986.25
Michael Russell:1978.33
Paolo Cane:1965.25
Kyle Edmund:1995.0
Ilie Nastase:1946.5
Michel Kratochvil:1979.25
Ramon Delgado:1976.83
Andrew Ilie:1976.25
Harold Solomon:1952.67
Paul Goldstein:1976.58
Christo Van Rensburg:1962.75
Horacio De La Pena:1966.58
Jim Grabb:1964.25
Karim Alami:1973.33
Guillaume Raoux:1970.08
David Sanchez:1978.25
Botic Van De Zandschulp:1995.75
Martin Damm Sr:1972.58
Oscar Martinez:1974.17
Alex Radulescu:1974.92
Lukas Rosol:1985.5
Luke Milligan:1976.58
Ronald Agenor:1964.83
Luiz Mattar:1963.58
Tomas Carbonell:1968.58
Sandon Stolle:1970.5
Filip Krajinovic:1992.08
Chris Guccione:1985.5
Pavol Cervenak:1987.5
Thierry Tulasne:1963.5
Ryan Harrison:1992.33
Aslan Karatsev:1993.67
Paul Mcnamee:1954.83
Alexander Bublik:1997.42
Bill Scanlon:1956.83
Eric Jelen:1965.17
Edouard Roger Vasselin:1983.83
Jaime Fillol:1946.42
Denis Istomin:1986.67
Filip Dewulf:1972.17
Carlos Berlocq:1983.08
Tim Van Rijthoven:1997.25
Martin Klizan:1989.5
Galo Blanco:1976.75
Alejandro Davidovich Fokina:1999.42
Federico Sanchez:1970.92
Sebastian Baez:2000.92
Nicolas Thomann:1972.83
Malek Jaziri:1984.0
Thomas Gollwitzer:1966.5
Adriano Panatta:1950.5
Benoit Paire:1989.33
Wesley Moodie:1979.08
Scott Davis:1962.58
Jan Kroslak:1974.75
Milan Srejber:1963.92
Christian Ruud:1972.58
German Lopez:1971.92
Lukasz Kubot:1982.33
Justin Gimelstob:1977.0
John Millman:1989.42
Alex Bogomolov Jr:1983.25
Dan Goldie:1963.75
Stefano Pescosolido:1971.42
Gilbert Schaller:1969.17
David Witt:1973.42
Ramesh Krishnan:1961.42
Jens Knippschild:1975.08
Daniel Nestor:1972.67
Jordi Burillo:1972.92
Grant Stafford:1971.33
Tim Gullikson:1951.67
Vasek Pospisil:1990.42
Tom Gullikson:1951.67
Yannick Hanfmann:1991.83
Wayne Black:1973.83
Nicolas Jarry:1995.75
Takao Suzuki:1976.67
Wayne Odesnik:1985.83
John Van Lottum:1976.25
Josselin Ouanna:1986.25
Miomir Kecmanovic:1999.58
Michael Berrer:1980.5
Thanasi Kokkinakis:1996.25
Carsten Ball:1987.42
Alex Obrien:1970.17
Gabriel Markus:1970.17
Michael Tebbutt:1970.92
Thiemo De Bakker:1988.75
Karol Beck:1982.25
Mauricio Hadad:1971.92
Hank Pfister:1953.75
David Pate:1962.25
Jairo Velasco:1974
Dudi Sela:1985.25
Slobodan Zivojinovic:1963.5
Egor Gerasimov:1992.83
Matteo Arnaldi:2001.08
Alex Michelsen:2004.58
Colin Dibley:1944.67
Aljaz Bedene:1989.5
Mikhail Kukushkin:1987.92
Leonardo Lavalle:1967.5
Sergiy Stakhovsky:1986.0
Pablo Andujar:1986.0
John Sadri:1956.67
Leander Paes:1973.42
Santiago Giraldo:1987.83
Jeff Borowiak:1949.67
Nicolas Coutelot:1977.08
Fabian Marozsan:1999.75
Victor Pecci:1955.75
Emil Ruusuvuori:1999.25
Mischa Zverev:1987.58
Cristian Garin:1996.33
Olivier Delaitre:1967.42
Tallon Griekspoor:1996.5
Marinko Matosevic:1985.58
Martin Alund:1985.92
Michael Tauson:1966.42
Alexander Popp:1976.83
Yen Hsun Lu:1983.58
Federico Luzzi:1980.0
Carsten Arriens:1969.25
Buster C Mottram:1955.25
Mose Navarra:1974.5
Johan Van Herck:1974.33
Frederico Gil:1985.17
Heinz Gunthardt:1959.08
Lionel Roux:1973.25
Terry Moor:1952.25
Alex Calatrava:1973.42
Shuzo Matsuoka:1967.83
Guido Pella:1990.33
Jared Donaldson:1996.75
Dustin Brown:1984.92
Andrei Stoliarov:1977.0
Peter Gojowczyk:1989.5
Juan Aguilera:1962.17
Lorenzo Sonego:1995.33
Karsten Braasch:1967.5
Irakli Labadze:1981.42
Dave Randall:1967.33
Sebastien De Chaunac:1977.75
Ilya Ivashka:1994.08
Joseph Sirianni:1975.0
Flavio Cobolli:2002.33
Tomas Behrend:1974.92
Andrea Vavassori:1995.33
Dusan Vemic:1976.42
Michael Joyce:1973.08
Ryan Sweeting:1987.5
Todd Witsken:1963.83
Dusan Lajovic:1990.42
Phil Dent:1950.08
Jaime Oncins:1970.42
Dennis Van Scheppingen:1975.5
Mel Purcell:1959.5
Yoshihito Nishioka:1995.67
Marcos Giron:1993.5
Peter Lundgren:1965.0
John Fitzgerald:1960.92
Jan Gunnarsson:1962.33
Alejandro Falla:1983.83
Jamie Morgan:1971.42
Oliver Gross:1973.42
Pierre Hugues Herbert:1991.17
Alex Molcan:1997.92
Corrado Barazzutti:1953.08
Roman Safiullin:1997.58
Roberto Carretero:1975.58
Jan Apell:1969.83
Thomas Buchmayer:1971.08
Patrik Kuhnen:1966.08
Andrey Kuznetsov:1991.08
Sebastien Lareau:1973.25
Robert Seguso:1963.33
Libor Pimek:1963.58
Tom Leonard:1948.5
Ryan Peniston:1995.83
Andrei Olhovskiy:1966.25
Gilles Elseneer:1978.17
