-17.00946598231643,-2.033231477296298,-6.019074287473175,;-17.608377433017036,-2.1605386809795353,-6.468706272457414,;-17.74382363980847,-2.041401267205218,-5.950383205311214,;
-17.631116485357833,-2.1733235461930285,-6.304779170982592,;-18.322324034933793,-2.373575035402653,-6.6949423837488995,;-18.01110989882761,-2.068428698910172,-6.2573011967291645,;
-18.614371548640257,-2.0835209134162214,-6.337607229752372,;-19.059334166906787,-2.2877062889270823,-6.708726301001013,;-19.44554447022482,-1.965679734047252,-6.323046257152395,;
-18.546060523510956,-2.061625128858751,-6.283073706846789,;-19.106756251273154,-2.2453552375462804,-6.651092468150971,;-19.154054046301688,-1.998244207441995,-6.240175469991591,;
-17.325044923714625,-1.8148386995004941,-5.872014184309274,;-18.227570335165893,-2.0545862507190655,-6.332519771961645,;-17.59781130736599,-1.7822929398971517,-5.861496634246479,;
-17.455530477614484,-1.89127484138743,-6.0041786978905005,;-17.828853393533315,-2.155110900374512,-6.333371326905487,;-18.110528462814283,-1.8525669126762545,-6.088863629845641,;
-17.9568418661851,-2.08530034012427,-6.23050835343471,;-18.586700663291833,-2.3048157953305464,-6.66378230161527,;-18.428104743043807,-1.939706712158498,-6.025166539817199,;
-17.781609709933516,-1.9724124216246723,-6.21150729520582,;-18.487401524588105,-2.1976733998647306,-6.656356197143409,;-18.18259890488547,-1.9295594378101921,-6.093369499384119,;
-16.772090317087212,-1.9459500486074435,-6.0132307030581345,;-17.449591292777296,-2.1879148142309646,-6.428658054392234,;-17.373914739789438,-1.8851840945931215,-5.998304325616466,;
-17.390983153774133,-1.9230225377107775,-5.85148389596824,;-18.015407342519183,-2.132246395219913,-6.315229627827994,;-18.40118351291586,-1.940127621905919,-5.912254547368596,;
-17.009105165767156,-2.0703431419631078,-6.193128400401448,;-17.67082975851101,-2.270520775683198,-6.623048362628127,;-17.655125270570334,-1.9766735389362142,-6.154797148887672,;
-17.78617914792561,-1.9954238123033188,-5.940689298313969,;-18.68163480277883,-2.2629432911263887,-6.498957715834219,;-18.19518406355677,-1.870733597939083,-5.828139775208374,;
-17.304524323854228,-1.996328825952562,-6.012923179538361,;-18.010863071332622,-2.2060213508961497,-6.448822209994985,;-17.93025949671714,-1.9357254857315942,-5.93254301049347,;
-17.69896478827668,-2.003714774171745,-6.297370635033481,;-18.18664607956566,-2.122083950142445,-6.583826910339374,;-18.579910907508296,-2.0651781769681388,-6.352329843718914,;
-18.09384324523336,-2.0825823775298122,-6.067113641907579,;-18.903124181551192,-2.3034490999420045,-6.541544608778245,;-18.529489327491977,-1.9400397534201366,-5.947189667647752,;
-18.335200386908358,-2.032225491258215,-6.103912793839253,;-18.946694660926372,-2.1818876129684353,-6.445946215805597,;-18.93090960764507,-2.022215976017908,-6.148969778737269,;
-17.321228843154035,-2.0644390368086003,-6.099544786037063,;-18.044256146415254,-2.217919077999207,-6.545871481485651,;-17.93717578236162,-2.079510383843557,-6.055075555514212,;
-17.96371291470401,-2.0163497720943044,-6.001636426718127,;-18.890936721171702,-2.2311371640180635,-6.522791699205617,;-18.1824522585322,-1.9566687617959995,-5.879061631445884,;
-18.14004248215019,-2.055543542935058,-6.2629252316195165,;-18.749298257436802,-2.2036494909279396,-6.672342165373234,;-18.767336409129513,-2.050335115160157,-6.113128779884679,;
-17.015036739651922,-2.053312476245442,-6.075319400451462,;-17.602820043684787,-2.162422130202015,-6.36089135803901,;-17.60927719089374,-2.068216124822022,-6.039919187903488,;
-17.1786467964064,-2.025190376922228,-6.056995347875677,;-17.82862824532744,-2.16936211184444,-6.527293273472059,;-17.805804147440533,-1.998761950895164,-5.969132689734846,;
-17.483831566912656,-2.0395917020121583,-5.991702483614985,;-18.079295615943558,-2.1679331089225466,-6.361400873514295,;-18.187656994820266,-2.0773172088846725,-6.15046318984295,;
-18.028915444134956,-2.187621260425214,-6.333371964180743,;-18.596701335808774,-2.292048580141963,-6.763113798530732,;-18.710679491216684,-2.1957454236100844,-6.180464463791298,;
-17.52465553977404,-1.9811899317252408,-6.188460573289008,;-18.137409948884407,-2.1550189851366883,-6.545160973877424,;-18.210892411983696,-1.9748480058506541,-6.174688195521336,;
